Polaridad_Clustering,Topic_ID,Palabras_Clave,Descripcion
negativo,0,"issue, skips, smart, greedy, choice, mobile, amount, money, shuffle, advertisement","Precios y Limitaciones del Plan Gratuito"
negativo,1,"option, offline, advertising, plan, selection, button, limit, band, create, install","Funciones Básicas y Anuncios"
negativo,2,"time, crashes, users, cannot, hell, unusable, rating, click, nahi, forces","Crashes y Errores"
negativo,3,"playback, disruptive, user, problem, repetitive, account, devices, download, inconsistent, updates","Interrupciones e Inconsistencias"
negativo,4,"limited, features, podcasts, reliable, podcast, feature, uninterrupted, stop, platforms, annoying","Podcasts y Funcionalidades"
negativo,5,"recommendations, shuffle, worse, player, particular, issues, random, update, problems, least","Malas Recomendaciones y Modo Shuffle"
negativo,6,"money, button, create, update, personalized, specific, useless, keeps, phone, bottom","Interfaz y Actualizaciones"
