modelo,accuracy,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,f1_per_class
multinomial_nb,0.6993333333333334,0.6103307223971691,0.6993333333333334,0.729142530539583,0.6239833340175722,0.6473524843568896,"[0.7571644042232277, 0.2929061784897025, 0.7809215844785772]"
random_forest,0.7913333333333333,0.5526604655034283,0.7913333333333333,0.7594128195523926,0.5315200619371095,0.5759906596911003,"[0.8218232044198895, 0.0, 0.8361581920903954]"
decision_tree,0.686,0.5053844502818716,0.686,0.6623317746443466,0.5478368173691462,0.5135167491995686,"[0.6830508474576271, 0.08641975308641975, 0.7466827503015682]"
knn,0.6133333333333333,0.43761484006152135,0.6133333333333333,0.5789275563869816,0.4984666137213323,0.4557924535898104,"[0.5520534861509073, 0.06134969325153374, 0.6994413407821229]"
