Polaridad_Clustering,Topic_ID,Palabras_Clave
negativo,0,"access, code, account, error, issue, lossless, ridiculous, disappointed, audio, email"
negativo,1,"android, account, update, device, search, sign, fine, login, results, inconsistent"
negativo,2,"phone, download, monthly, bugs, button, slow, data, android, impossible, laggy"
negativo,3,"devices, interface, features, buggy, strong, card, couldnt, android, total, problem"
negativo,4,"password, service, crashes, account, user, time, customer, problem, correct, shuffle"
negativo,5,"payment, method, keeps, unable, option, difficult, android, page, didnt, none"
negativo,6,"money, time, trial, update, trash, company, worse, recent, past, account"
