Polaridad_Clustering,Topic_ID,Palabras_Clave
positivo,0,"devices, choice, care, seamless, service, enjoyable, enjoy, cost"
positivo,1,"phone, catalog, update, keeps, account, time, complaints, playing, taste, price"
positivo,2,"podcasts, access, weekly, discover, bands, selection, affordable, obscure, clean, vast"
positivo,3,"personalized, enjoyable, subscriber, recommendations, fast, playback, reliable, anytime, offline, podcasts"
positivo,4,"friends, useful, platform, student, ease, lover, catalogue, family"
positivo,5,"favourite, trouble, interface, reliable, plans, features, extensive, adfree, massive, time"
positivo,6,"option, queue, personal, worth, plenty, problem, genres, rate, shuffle, mixes"
