Polaridad_Clustering,Topic_ID,Palabras_Clave
negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error"
negativo,1,"unusable, money, account, list, service, rating, stop, repeat, useless, fine"
negativo,2,"features, podcast, podcasts, limited, platforms, user, shuffle, advertisements, repetitive, behaves"
negativo,3,"keeps, update, worse, device, choice, plan, lyrics, multiple, mobile, updates"
negativo,4,"issue, useless, download, uninterrupted, recommendations, skips, greedy, personalized, trash, payment"
negativo,5,"money, button, create, feature, update, random, disruptive, users, phone, bottom"
