Polaridad_Clustering,Topic_ID,Palabras_Clave
negativo,0,"phone, android, account, stops, monthly, time, poor, issue, features, service"
negativo,1,"account, sign, player, email, security, trial, autoplay, function, auto, start"
negativo,2,"access, stop, queue, load, downloaded, devices, cache, update, playing, android"
negativo,3,"problem, lossless, difficult, android, name, volume, help, internet, buggy, subscriptions"
negativo,4,"time, android, payment, keeps, issue, money, several, problems, option, users"
negativo,5,"unable, device, audio, bugs, slow, phones, service, family, fine, plan"
negativo,6,"update, search, payment, worse, method, phone, card, samsung, design, audio"
